b3361df77c95 | 2025-08-10 16:40:55.029 | info | UP migrations completed successfully
b3361df77c95 | 2025-08-10 16:40:55.030 | info | Final migration version: 23 (dirty: false)
b3361df77c95 | 2025-08-10 16:40:55.030 | info | Migration service completed in 437ms
867205323fdd | 2025-08-10 16:48:03.862 | info | Starting database migration service
867205323fdd | 2025-08-10 16:48:03.862 | info | Migration command: up
867205323fdd | 2025-08-10 16:48:03.862 | info | Connecting to database: postgres:5432/mydb
867205323fdd | 2025-08-10 16:48:03.890 | info | Database connection established
867205323fdd | 2025-08-10 16:48:03.907 | info | Database has no migrations applied yet
867205323fdd | 2025-08-10 16:48:03.907 | info | Running UP migrations...
867205323fdd | 2025-08-10 16:48:04.232 | info | UP migrations completed successfully
867205323fdd | 2025-08-10 16:48:04.232 | info | Final migration version: 23 (dirty: false)
867205323fdd | 2025-08-10 16:48:04.232 | info | Migration service completed in 370ms
dbea174f2edc | 2025-08-10 16:51:29.652 | info | Starting database migration service
dbea174f2edc | 2025-08-10 16:51:29.652 | info | Migration command: up
dbea174f2edc | 2025-08-10 16:51:29.652 | info | Connecting to database: postgres:5432/mydb
dbea174f2edc | 2025-08-10 16:51:29.732 | info | Database connection established
dbea174f2edc | 2025-08-10 16:51:29.870 | info | Database has no migrations applied yet
dbea174f2edc | 2025-08-10 16:51:29.870 | info | Running UP migrations...
dbea174f2edc | 2025-08-10 16:51:30.165 | info | UP migrations completed successfully
dbea174f2edc | 2025-08-10 16:51:30.165 | info | Final migration version: 23 (dirty: false)
dbea174f2edc | 2025-08-10 16:51:30.165 | info | Migration service completed in 513ms
046bdf85e15d | 2025-08-10 16:56:46.726 | info | Starting database migration service
046bdf85e15d | 2025-08-10 16:56:46.726 | info | Migration command: up
046bdf85e15d | 2025-08-10 16:56:46.726 | info | Connecting to database: postgres:5432/mydb
046bdf85e15d | 2025-08-10 16:56:46.754 | info | Database connection established
046bdf85e15d | 2025-08-10 16:56:46.775 | info | Database has no migrations applied yet
046bdf85e15d | 2025-08-10 16:56:46.775 | info | Running UP migrations...
